consumption,price,unspecified,hydro,wind_onshore,thermal,solar,export/import
"-1,733","376,51",0.02,4368,34,87,1.427,2757.17
"-1,634","372,94",0.01,4111,36,88,1.555,2602.45
"-1,677","369,9",0.01,4142,26,87,1.202,2579.27
"-1,687","366,76",0.02,4133,24,88,0.588,2558.95
"-1,693","366,11",0.01,4236,16,87,0.171,2646.17
"-1,708","370,45",0.02,4371,15,88,0.024,2765.53
"-1,721","376,62",0.02,4035,32,88,0.008,2433.65
"-1,685","378,35",0.02,3872,48,86,0.009,2321.61
"-1,639","371,2",0.02,3775,65,84,0.008,2285.29
"-1,607","364,16",0.04,3524,90,83,0.011,2090.05
"-1,564","355,49",0.02,3120,106,83,0.010,1745.32
"-1,527","298,5",0.02,2666,88,82,0.011,1308.19
"-1,499","355,02",0.02,2310,91,80,0.010,981.18
"-1,494","354,05",0.04,2100,113,81,0.013,799.80
"-1,479","349,71",0.03,2073,116,81,0.011,790.48
"-1,47","335,18",0.03,2032,108,82,0.011,751.69
"-1,457","349,17",0.03,2182,101,85,0.011,910.15
"-1,465","353,29",0.03,2335,92,89,0.011,1052.17
"-1,5","356,76",0.02,2617,81,95,0.013,1292.84
"-1,528","360,55",0.03,2880,82,97,0.013,1530.67
"-1,565","366,3",0.02,3212,80,98,0.044,1824.85
"-1,601","375,19",0.02,3552,77,98,0.145,2126.46
"-1,624","382,13",0.00,3537,59,92,0.340,2064.91
"-1,633","379,2",0.01,3501,53,89,0.590,2010.80
"-1,626","373,89",0.00,3518,59,88,0.636,2040.43
"-1,615","369,77",0.00,3527,67,90,0.463,2068.76
"-1,584","365,22",0.01,3585,78,89,0.327,2168.02
"-1,597","364,57",0.02,3605,97,89,0.174,2194.06
"-1,621","367,71",0.01,3571,134,90,0.085,2174.13
"-1,645","387,55",0.02,3887,170,90,0.019,2501.52
"-1,658","406,31",0.01,4197,182,88,0.010,2809.54
"-1,627","410,43",0.01,4250,172,86,0.012,2881.74
"-1,605","401,22",0.03,4051,168,85,0.011,2698.96
"-1,592","374,87",0.03,3806,152,81,0.010,2447.25
"-1,565","364,46",0.03,3607,136,83,0.010,2261.06
"-1,514","353,29",0.03,3108,163,83,0.013,1839.90
"-1,492","362,17",0.03,2718,208,80,0.012,1513.32
"-1,489","361,96",0.01,2652,258,83,0.011,1503.90
"-1,472","360,65",0.01,2602,346,87,0.010,1561.89
"-1,479","360,98",0.03,2636,428,88,0.012,1672.74
"-1,478","362,28",0.03,2681,464,88,0.009,1754.14
"-1,511","366,84",0.03,2813,497,90,0.011,1888.32
"-1,538","366,51",0.02,3173,472,93,0.012,2199.57
"-1,56","372,04",0.03,3359,538,87,0.016,2423.19
"-1,57","380,28",0.01,3570,561,87,0.226,2647.20
"-1,595","388,2",0.02,3835,495,88,1.379,2824.48
"-1,601","393,94",0.02,4030,374,86,3.235,2892.36
"-1,59","393,84",0.01,4023,263,84,5.206,2784.61
"-1,567","393,29",0.00,3875,266,81,6.212,2662.13
"-1,55","389,28",0.02,3831,304,83,5.800,2673.26
"-1,528","388,41",0.02,3809,299,81,5.079,2665.76
"-1,56","388,2",0.01,3985,272,80,3.439,2780.65
"-1,586","390,15",0.01,4212,272,82,1.291,2980.81
